# Created on 2025-11-11 13:51:51.962239+01:00 (1762865511.962239 s)
# baldaquin version: 0.10.0+g299a25c
# Creator: Temperature Monitor
# Pin number, Time [s], Temperature [deg C]
1, 119.666, 21.10
0, 119.917, 21.62
1, 120.167, 21.10
0, 120.418, 21.62
1, 120.667, 21.10
0, 120.918, 21.62
1, 121.168, 21.10
0, 121.419, 21.62
1, 121.669, 21.10
0, 121.920, 21.72
1, 122.170, 21.10
0, 122.420, 21.62
1, 122.670, 21.00
0, 122.921, 21.62
1, 123.171, 21.00
0, 123.421, 21.62
1, 123.672, 21.10
0, 123.922, 21.62
1, 124.173, 21.00
0, 124.422, 21.62
1, 124.673, 21.00
0, 124.923, 21.62
1, 125.174, 21.00
0, 125.424, 21.62
1, 125.675, 21.00
0, 125.925, 21.62
1, 126.175, 21.00
0, 126.425, 21.62
1, 126.676, 21.00
0, 126.926, 21.62
1, 127.177, 21.00
0, 127.427, 21.62
1, 127.678, 21.00
0, 127.928, 21.62
1, 128.178, 21.00
0, 128.428, 21.62
1, 128.679, 21.00
0, 128.929, 21.62
1, 129.180, 21.00
0, 129.430, 21.62
1, 129.680, 21.00
0, 129.930, 21.62
1, 130.180, 21.00
0, 130.431, 21.62
1, 130.681, 21.00
0, 130.932, 21.62
1, 131.182, 21.00
0, 131.433, 21.62
1, 131.683, 21.00
0, 131.933, 21.62
1, 132.183, 21.00
0, 132.434, 21.62
1, 132.684, 21.00
0, 132.935, 21.62
1, 133.185, 21.00
0, 133.436, 21.62
1, 133.685, 21.00
0, 133.936, 21.62
1, 134.186, 21.00
0, 134.437, 21.62
1, 134.687, 21.00
0, 134.937, 21.62
1, 135.188, 21.00
0, 135.438, 21.62
1, 135.688, 21.00
0, 135.938, 21.62
1, 136.189, 20.90
0, 136.439, 21.62
1, 136.690, 21.00
0, 136.940, 21.62
1, 137.191, 21.00
0, 137.441, 21.62
1, 137.691, 21.00
0, 137.941, 21.62
1, 138.192, 21.00
0, 138.442, 21.62
1, 138.693, 21.00
0, 138.943, 21.62
1, 139.194, 21.00
0, 139.443, 21.62
1, 139.694, 21.00
0, 139.944, 21.62
1, 140.195, 21.00
0, 140.445, 21.62
1, 140.696, 21.00
0, 140.946, 21.62
1, 141.196, 21.00
0, 141.446, 21.62
1, 141.696, 21.00
0, 141.947, 21.62
1, 142.197, 21.00
0, 142.448, 21.62
1, 142.698, 21.00
0, 142.949, 21.52
1, 143.198, 20.90
0, 143.449, 21.52
1, 143.699, 20.90
0, 143.950, 21.62
1, 144.200, 21.00
0, 144.451, 21.62
1, 144.701, 21.00
0, 144.952, 21.52
1, 145.201, 21.00
0, 145.452, 21.52
1, 145.702, 21.00
0, 145.953, 21.52
1, 146.203, 21.00
0, 146.454, 21.52
1, 146.704, 21.00
0, 146.954, 21.52
1, 147.204, 21.00
0, 147.455, 21.52
1, 147.705, 21.00
0, 147.955, 21.52
1, 148.206, 21.00
0, 148.456, 21.52
1, 148.707, 21.00
